x y
NA NA
15.071959 68.318706
15.106353 68.336105
15.155744 68.358088
15.158606 68.37426
15.15612 68.374347
15.215654 68.401076
15.201256 68.408559
15.288043 68.452441
15.304209 68.470928
15.475712 68.467037
15.4777 68.474407
15.336788 68.484641
15.314165 68.504051
15.337647 68.521344
15.35387 68.506347
15.435215 68.499217
15.452432 68.506961
15.370454 68.511796
15.349294 68.536736
15.269932 68.542353
15.292929 68.572222
15.342101 68.581164
15.50841 68.55049
15.399947 68.593967
15.461133 68.600121
15.498384 68.62062
15.534022 68.607221
15.568912 68.609655
15.52325 68.628081
15.646234 68.632364
15.671985 68.615583
15.707552 68.620291
15.664492 68.638659
15.580475 68.651553
15.544802 68.66961
15.558421 68.682131
15.557162 68.682177
15.521935 68.711368
15.540991 68.725087
15.695336 68.734723
15.784485 68.698796
15.79336 68.703111
15.743613 68.729653
15.744679 68.746825
15.715824 68.753027
15.613433 68.733584
15.55054 68.768912
15.560008 68.816921
15.595722 68.816545
15.623143 68.804841
15.625749 68.818695
15.660392 68.828111
15.790817 68.800904
15.793599 68.810567
15.739057 68.825645
15.746887 68.835119
15.686715 68.83969
15.637132 68.859195
15.667193 68.892959
15.730268 68.884573
15.738594 68.891238
15.69036 68.897682
15.685201 68.920192
15.712782 68.944744
15.804346 68.972019
15.832252 68.952831
15.935339 68.966122
15.981928 68.962471
15.984755 68.915837
16.035847 68.897566
15.927195 68.777542
15.850737 68.738607
15.925728 68.746421
15.918917 68.753665
16.080782 68.791085
16.086399 68.758744
16.056255 68.709196
15.965687 68.6569
15.91803 68.650382
15.85213 68.624545
15.873806 68.567855
15.828338 68.559375
15.804906 68.539334
15.829846 68.533718
15.903315 68.564845
15.887323 68.618995
15.977051 68.635042
16.080334 68.674721
16.127971 68.672353
16.126786 68.643065
16.149813 68.635155
16.157858 68.674413
16.105837 68.691862
16.151884 68.75148
16.249108 68.735454
16.317472 68.737788
16.377027 68.707851
16.34818 68.742116
16.349441 68.742064
16.326283 68.757921
16.204338 68.789417
16.175259 68.828295
16.186229 68.826459
16.21044 68.846904
16.287673 68.868466
16.317667 68.865851
16.330369 68.869525
16.361864 68.84309
16.432278 68.834599
16.374589 68.883551
16.328686 68.892876
16.323646 68.92195
16.355992 68.922496
16.361234 68.90645
16.503262 68.860061
16.578369 68.854112
16.583286 68.821753
16.61193 68.827062
16.628252 68.841747
16.673236 68.845886
16.664832 68.828069
16.6309 68.826255
16.603566 68.793398
16.644296 68.800518
16.675723 68.798706
16.654263 68.78005
16.637922 68.77702
16.658938 68.735568
16.610606 68.720392
16.681087 68.717367
16.623797 68.686267
16.661858 68.681833
16.662157 68.682753
16.679173 68.668498
16.658755 68.660522
16.668348 68.658709
16.601327 68.612645
16.565218 68.610928
16.587911 68.602498
16.5879 68.570798
16.530095 68.564414
16.38052 68.564201
16.394667 68.560814
16.321168 68.564806
16.204788 68.536049
16.198279 68.556344
16.160621 68.557408
16.192155 68.536098
16.18188 68.523008
16.198386 68.514882
16.175499 68.514417
16.146854 68.469466
16.083821 68.448262
16.06755 68.410258
15.992401 68.398367
15.980087 68.386284
15.954009 68.387321
15.982603 68.446724
15.950761 68.519225
15.947297 68.450917
15.92218 68.433749
15.851537 68.463985
15.858195 68.443242
15.924628 68.424806
15.911791 68.423914
15.912252 68.408065
15.877577 68.409894
15.869779 68.404612
15.847769 68.437596
15.819142 68.403329
15.826793 68.390462
15.732613 68.381536
15.76813 68.369461
15.832345 68.379071
15.797457 68.371118
15.785533 68.351097
15.76569 68.351866
15.765915 68.339287
15.712907 68.333418
15.729217 68.315566
15.701675 68.31104
15.704961 68.318362
15.661192 68.313986
15.656144 68.318368
15.644741 68.317871
15.67124 68.332221
15.631149 68.345847
15.60048 68.339095
15.589287 68.394428
15.61274 68.411228
15.575126 68.397751
15.545313 68.348149
15.526223 68.360959
15.514053 68.353037
15.46528 68.358102
15.422357 68.352238
15.410767 68.365222
