,Lon,Lat,ID
6037,4.6125,61.878426,11
6038,4.602,61.866404,11
6039,4.5915,61.854382,11
6040,4.581,61.84236,11
6041,4.57071429,61.83050143,11
6042,4.56042857,61.81864286,11
6043,4.55014286,61.80678429,11
6044,4.53985714,61.79492571,11
6045,4.52957143,61.78306714,11
6046,4.51928571,61.77120857,11
6047,4.509,61.75935,11
6048,4.49871429,61.74749143,11
6049,4.48842857,61.73563286,11
6050,4.47814286,61.72377429,11
6051,4.46785714,61.71191571,11
6052,4.45757143,61.70005714,11
6053,4.44728571,61.68819857,11
6054,4.437,61.67634,11
6055,4.434,61.67235,11
6056,4.431,61.66805,11
6057,4.429,61.66368,11
6058,4.428,61.65925,11
6059,4.427,61.65478,11
6060,4.42533333,61.64139333,11
6061,4.42366667,61.62800667,11
6062,4.422,61.61462,11
6063,4.42018182,61.59832818,11
6064,4.41836364,61.58203636,11
6065,4.41654546,61.56574455,11
6066,4.41472727,61.54945273,11
6067,4.41290909,61.53316091,11
6068,4.41109091,61.51686909,11
6069,4.40927273,61.50057727,11
6070,4.40745455,61.48428546,11
6071,4.40563636,61.46799364,11
6072,4.40381818,61.45170182,11
6073,4.402,61.43541,11
6074,4.40018182,61.41911727,11
6075,4.39836364,61.40282455,11
6076,4.39654546,61.38653182,11
6077,4.39472727,61.37023909,11
6078,4.39290909,61.35394636,11
6079,4.39109091,61.33765364,11
6080,4.38927273,61.32136091,11
6081,4.38745455,61.30506818,11
6082,4.38563636,61.28877546,11
6083,4.38381818,61.27248273,11
6084,4.382,61.25619,11
6085,4.38018182,61.23989636,11
6086,4.37836364,61.22360273,11
6087,4.37654546,61.20730909,11
6088,4.37472727,61.19101546,11
6089,4.37290909,61.17472182,11
6090,4.37109091,61.15842818,11
6091,4.36927273,61.14213455,11
6092,4.36745455,61.12584091,11
6093,4.36563636,61.10954727,11
6094,4.36381818,61.09325364,11
6095,4.362,61.07696,11
6096,4.362,61.07274,11
6097,4.36233333,61.05972,11
6098,4.36266667,61.0467,11
6099,4.363,61.03368,11
6100,4.363,61.03074,11
6101,4.364,61.025,11
6102,4.364,61.02449,11
6103,4.365,61.02002,11
6104,4.366,61.0156,11
6105,4.368,61.01123,11
6106,4.373,61.00222,11
6107,4.378,60.99321,11
6108,4.386,60.97876917,11
6109,4.394,60.96432833,11
6110,4.402,60.9498875,11
6111,4.41,60.93544667,11
6112,4.418,60.92100583,11
6113,4.426,60.906565,11
6114,4.434,60.89212417,11
6115,4.442,60.87768333,11
6116,4.45,60.8632425,11
6117,4.458,60.84880167,11
6118,4.466,60.83436083,11
6119,4.474,60.81992,11
6120,4.48191667,60.80547417,11
6121,4.48983333,60.79102833,11
6122,4.49775,60.7765825,11
6123,4.50566667,60.76213667,11
6124,4.51358333,60.74769083,11
6125,4.5215,60.733245,11
6126,4.52941667,60.71879917,11
6127,4.53733333,60.70435333,11
6128,4.54525,60.6899075,11
6129,4.55316667,60.67546167,11
6130,4.56108333,60.66101583,11
6131,4.569,60.64657,11
6132,4.57683333,60.6321175,11
6133,4.58466667,60.617665,11
6134,4.5925,60.6032125,11
6135,4.60033333,60.58876,11
6136,4.60816667,60.5743075,11
6137,4.616,60.559855,11
6138,4.62383333,60.5454025,11
6139,4.63166667,60.53095,11
6140,4.6395,60.5164975,11
6141,4.64733333,60.502045,11
6142,4.65516667,60.4875925,11
6143,4.663,60.47314,11
6144,4.67075,60.45868167,11
6145,4.6785,60.44422333,11
6146,4.68625,60.429765,11
6147,4.694,60.41530667,11
6148,4.70175,60.40084833,11
6149,4.7095,60.38639,11
6150,4.71725,60.37193167,11
6151,4.725,60.35747333,11
6152,4.73275,60.343015,11
6153,4.7405,60.32855667,11
6154,4.74825,60.31409833,11
6155,4.756,60.29964,11
6156,4.7607,60.28435,11
6157,4.7654,60.26906,11
6158,4.7701,60.25377,11
6159,4.7748,60.23848,11
6160,4.7795,60.22319,11
6161,4.7842,60.2079,11
6162,4.7889,60.19261,11
6163,4.7936,60.17732,11
6164,4.7983,60.16203,11
6165,4.803,60.14674,11
6166,4.8075,60.13195167,11
6167,4.812,60.11716333,11
6168,4.8165,60.102375,11
6169,4.821,60.08758667,11
6170,4.8255,60.07279833,11
6171,4.83,60.05801,11
6172,4.8345,60.04322167,11
6173,4.839,60.02843333,11
6174,4.8435,60.013645,11
6175,4.848,59.99885667,11
6176,4.8525,59.98406833,11
6177,4.857,59.96928,11
6178,4.8615,59.95448833,11
6179,4.866,59.93969667,11
6180,4.8705,59.924905,11
6181,4.875,59.91011333,11
6182,4.8795,59.89532167,11
6183,4.884,59.88053,11
6184,4.8885,59.86573833,11
6185,4.893,59.85094667,11
6186,4.8975,59.836155,11
6187,4.902,59.82136333,11
6188,4.9065,59.80657167,11
6189,4.911,59.79178,11
6190,4.91411111,59.77607667,11
6191,4.91722222,59.76037333,11
6192,4.92033333,59.74467,11
6193,4.92344444,59.72896667,11
6194,4.92655556,59.71326333,11
6195,4.92966667,59.69756,11
6196,4.93277778,59.68185667,11
6197,4.93588889,59.66615333,11
6198,4.939,59.65045,11
6199,4.9341,59.635405,11
6200,4.9292,59.62036,11
6201,4.9243,59.605315,11
6202,4.9194,59.59027,11
6203,4.9145,59.575225,11
6204,4.9096,59.56018,11
6205,4.9047,59.545135,11
6206,4.8998,59.53009,11
6207,4.8949,59.515045,11
6208,4.89,59.5,11
6209,4.87366667,59.49950333,11
6210,4.85733333,59.49900667,11
6211,4.841,59.49851,11
6212,4.83253846,59.48538462,11
6213,4.82407692,59.47225923,11
6214,4.81561539,59.45913385,11
6215,4.80715385,59.44600846,11
6216,4.79869231,59.43288308,11
6217,4.79023077,59.41975769,11
6218,4.78176923,59.40663231,11
6219,4.77330769,59.39350692,11
6220,4.76484615,59.38038154,11
6221,4.75638462,59.36725615,11
6222,4.74792308,59.35413077,11
6223,4.73946154,59.34100539,11
6224,4.731,59.32788,11
6225,4.731,59.32712,11
6226,4.728,59.3228,11
6227,4.723,59.311465,11
6228,4.718,59.30013,11
6229,4.717,59.29883,11
6230,4.716,59.29442,11
6231,4.715,59.28996,11
6232,4.714,59.28548,11
6233,4.714,59.28099,11
6234,4.715,59.27652,11
6235,4.718,59.26375,11
6236,4.719,59.26084,11
6237,4.721,59.25644,11
6238,4.723,59.25211,11
6239,4.726,59.24787,11
6240,4.729,59.24374,11
6241,4.733,59.23974,11
6242,4.738,59.23589,11
6243,4.739,59.23463,11
6244,4.74,59.23408,11
6245,4.745,59.23041,11
6246,4.751,59.22693,11
6247,4.757,59.22364,11
6248,4.763,59.22057,11
6249,4.77,59.21772,11
6250,4.78133333,59.21318,11
6251,4.79266667,59.20864,11
6252,4.804,59.2041,11
6253,4.81938889,59.19801667,11
6254,4.83477778,59.19193333,11
6255,4.85016667,59.18585,11
6256,4.86555556,59.17976667,11
6257,4.88094444,59.17368333,11
6258,4.89633333,59.1676,11
6259,4.91172222,59.16151667,11
6260,4.92711111,59.15543333,11
6261,4.9425,59.14935,11
6262,4.95788889,59.14326667,11
6263,4.97327778,59.13718333,11
6264,4.98866667,59.1311,11
6265,5.00405556,59.12501667,11
6266,5.01944444,59.11893333,11
6267,5.03483333,59.11285,11
6268,5.223405468,59.00000005,11
6269,5,59,11
6270,5,59,11
6271,4,59.00384027,11
18,10.72677618,57.74642349,21
19,11.43333333,57.86666667,21
20,11.44072315,57.85271704,21
21,11.44811297,57.83876741,21
22,11.45550279,57.82481778,21
23,11.46289261,57.81086815,21
24,11.47028243,57.79691853,21
25,11.47767225,57.7829689,21
26,11.48506206,57.76901927,21
27,11.49245188,57.75506964,21
28,11.4998417,57.74112001,21
29,11.50723152,57.72717039,21
30,11.51462134,57.71322076,21
71,11.52201116,57.69927113,21
32,11.52940098,57.6853215,21
33,11.5367908,57.67137187,21
34,11.54418061,57.65742225,21
35,11.55157043,57.64347262,21
36,11.55896025,57.62952299,21
37,11.56505352,57.61797558,21
38,11.57114679,57.60642816,21
39,11.57724006,57.59488075,21
40,11.58333333,57.58333333,21
81,11.5943912,57.57231088,21
42,11.60544908,57.56128844,21
43,11.61650695,57.55026599,21
44,11.62756482,57.53924354,21
45,11.63862269,57.52822109,21
46,11.64968056,57.51719864,21
47,11.6598273,57.50707378,21
48,11.67149237,57.49540798,21
49,11.68315744,57.48374218,21
50,11.69482252,57.47207638,21
91,11.70648759,57.46041058,21
52,11.71815266,57.44874478,21
53,11.72981774,57.43707898,21
54,11.74148281,57.42541318,21
55,11.75314788,57.41374738,21
56,11.76481296,57.40208158,21
57,11.77647803,57.39041578,21
58,11.7881431,57.37874998,21
59,11.79980818,57.36708418,21
60,11.81147325,57.35541838,21
61,11.81152218,57.35527773,21
62,11.81207775,57.35380273,21
63,11.81271382,57.35243053,21
64,11.81349719,57.35100831,21
65,11.81441933,57.34953054,21
66,11.81548045,57.34803885,21
67,11.81644997,57.34658052,21
68,11.8172166,57.34520828,21
69,11.81778324,57.34388887,21
70,11.81816383,57.34265553,21
71,11.81880818,57.34140549,21
72,11.81993873,57.34010555,21
73,11.82155266,57.33876658,21
74,11.82363885,57.33739719,21
75,11.8259082,57.33604165,21
76,11.82821941,57.33477494,21
77,11.8305694,57.33359439,21
78,11.83295823,57.33246663,21
79,11.8353583,57.33133606,21
80,11.83563324,57.33119859,21
81,11.84580247,57.32099513,21
82,11.8559717,57.31079167,21
83,11.86614094,57.3005882,21
84,11.87631017,57.29038474,21
85,11.88333333,57.28333333,21
86,11.8964604,57.27396361,21
87,11.90958747,57.2645939,21
88,11.92271454,57.25522418,21
89,11.93584161,57.24585446,21
90,11.94896868,57.23648474,21
11,11.96209575,57.22711502,21
92,11.97522282,57.2177453,21
93,11.98834989,57.20837559,21
94,12.00147696,57.19900587,21
95,12.01460403,57.18963615,21
96,12.0277311,57.18026643,21
97,12.04085817,57.17089671,21
98,12.05398524,57.16152699,21
99,12.0671123,57.15215728,21
100,12.08023937,57.14278756,21
151,12.09336644,57.13341784,21
102,12.10649351,57.12404812,21
103,12.11962058,57.1146784,21
104,12.13274765,57.10530868,21
105,12.14587472,57.09593896,21
106,12.15900179,57.08656925,21
107,12.1590638,57.08642492,21
108,12.15965821,57.0853638,21
109,12.16038609,57.08439164,21
110,12.161286,57.08354165,21
31,12.16239991,57.08283052,21
112,12.1637693,57.08227499,21
113,12.1654222,57.08194444,21
114,12.16546681,57.08194208,21
115,12.17654344,57.07401036,21
116,12.18762007,57.06607864,21
117,12.1986967,57.05814692,21
118,12.20977333,57.0502152,21
119,12.22042868,57.04157094,21
120,12.23108404,57.03292669,21
41,12.2328638,57.02999994,21
122,12.23976379,57.01953047,21
123,12.24251376,57.01505276,21
124,12.24518889,57.01010554,21
125,12.24762492,57.00487772,21
126,12.24971105,56.99961942,21
127,12.25137499,56.99466944,21
128,12.252575,56.99027772,21
129,12.25327773,56.98651104,21
130,12.25346661,56.98326389,21
51,12.25313874,56.98022495,21
132,12.25234163,56.97711944,21
133,12.25117486,56.97381939,21
134,12.24848052,56.96696108,21
135,12.2463554,56.96199719,21
136,12.24484432,56.95977493,21
137,12.24303056,56.95809162,21
138,12.24068877,56.95671937,21
139,12.23804715,56.95543331,21
140,12.23586937,56.95414998,21
141,12.23608332,56.95333331,21
142,12.23759433,56.95243055,21
143,12.24023602,56.95144164,21
144,12.24267497,56.95019161,21
145,12.24544989,56.9481777,21
146,12.25051666,56.94408047,21
147,12.25444992,56.93906388,21
148,12.25720265,56.93571104,21
149,12.25918044,56.93352494,21
150,12.26162496,56.93104165,21
151,12.26454709,56.92831658,21
152,12.2724943,56.92145827,21
153,12.28044151,56.91459995,21
154,12.2849943,56.91043324,21
155,12.28936096,56.90624994,21
156,12.29322499,56.90241384,21
157,12.29857772,56.89677214,21
158,12.30565966,56.88983606,21
159,12.31274159,56.88289998,21
160,12.31413597,56.8818583,21
161,12.31566101,56.88053881,21
162,12.3173804,56.87876664,21
163,12.31934162,56.8764416,21
164,12.32636938,56.86709994,21
