257,20,1,56.959,N,6.216,E
257,20,1,57.045,N,5.951,E
257,20,1,56.95,N,6.19,E
257,20,1,56.936,N,6.146,E
257,20,1,57.138,N,5.638,E
257,20,1,57.117,N,5.613,E
257,20,1,56.923,N,6.102,E
257,20,1,56.909,N,6.058,E
257,20,1,57.096,N,5.588,E
257,20,1,57.074,N,5.563,E
257,20,1,56.895,N,6.014,E
257,20,1,56.881,N,5.97,E
257,20,1,57.05,N,5.544,E
257,20,1,57.023,N,5.536,E
257,20,1,56.867,N,5.926,E
257,20,1,56.853,N,5.883,E
257,20,1,56.995,N,5.527,E
257,20,1,56.972,N,5.519,E
257,20,1,56.969,N,5.514,E
257,20,1,56.84,N,5.839,E
257,20,1,56.826,N,5.795,E
257,20,1,56.951,N,5.479,E
257,20,1,56.933,N,5.445,E
257,20,1,56.812,N,5.751,E
257,20,1,56.798,N,5.707,E
257,20,1,56.916,N,5.411,E
257,20,1,56.9,N,5.38,E
257,20,1,56.894,N,5.386,E
257,20,1,56.784,N,5.663,E
257,20,1,56.77,N,5.619,E
257,20,1,56.842,N,5.44,E
257,20,1,56.789,N,5.494,E
257,20,1,56.756,N,5.575,E
257,20,1,56.745,N,5.539,E
