"Line","Longitude","Latitude"
1,4.972398686471,57.1735221176047
1,4.8958016169443,57.114531453005
1,4.96107871748259,57.3549887122825
1,4.71749666492331,57.1258234184974
1,4.76265920813649,57.3356963493844
1,4.56262185949561,57.1727410895952
1,4.58721782262655,57.351342388254
1,4.42023564269591,57.2386477490936
1,4.41563055495855,57.3728486408895
1,4.2699864972385,57.2925987692861
1,4.24682110262494,57.3985785816242
1,4.11929233627165,57.3458731402112
1,4.09480946790193,57.4498497242726
1,4.04313236668282,57.4242784464053
