"Line","Longitude","Latitude"
1,6.216431667,56.95871
1,5.95098759490331,57.0452546222413
1,6.18986423692567,56.9503306770618
1,6.14595961921146,56.9364832341862
1,5.63766362087502,57.1384680790524
1,5.61290871842667,57.1170109908523
1,6.10205500149726,56.9226357913106
1,6.05815038378305,56.9087883484349
1,5.58815381597832,57.0955539026522
1,5.56339891352996,57.074096814452
1,6.01424576606884,56.8949409055593
1,5.97034114835463,56.8810934626837
1,5.54448693449616,57.0503178862545
1,5.53564433286642,57.0225376248978
1,5.92643653064042,56.8672460198081
1,5.88253191292621,56.8533985769325
1,5.52680173123668,56.994757363541
1,5.519475137,56.97173985
1,5.51359054380518,56.968713075177
1,5.838627295212,56.8395511340569
1,5.79472267749779,56.8257036911812
1,5.47926675777809,56.9510584356908
1,5.44494297175099,56.9334037962047
1,5.75081805978358,56.8118562483056
1,5.70691344206937,56.79800880543
1,5.4106191857239,56.9157491567186
1,5.38,56.9
1,5.38583762560258,56.8943026616491
1,5.66300882435517,56.7841613625544
1,5.61910420664096,56.7703139196788
1,5.43992427347029,56.8415158003213
1,5.494010921338,56.7887289389935
1,5.57519958892675,56.7564664768031
1,5.538823312,56.74499346
