"Line","Longitude","Latitude"
1,2.771301667,58.16925834
1,2.56073,58.11271834
1,2.560701667,58.11270501
1,2.54710212634987,58.0783791935012
1,2.79719330037478,58.142271202425
1,2.90930135155888,58.0254197331966
1,2.54989969744594,57.9336016441282
1,2.597307893,57.89003795
1,2.76776157907536,57.843767620457
1,3.02140940274298,57.9085682639682
1,3.084164306,57.84315813
1,3.11780234060795,57.787701978286
1,2.8808568980192,57.7271683733262
1,2.90039,57.65373
1,2.94086736083083,57.5970072797411
1,3.19421275542347,57.6617306602252
1,3.206122726,57.64209571
1,3.33414721716902,57.5519881394787
1,3.07386796609055,57.4854933329448
1,3.184975464,57.44143404
